Index,Room_Og,Room_Changed
12852,41,41
3656,41,241
310,241,241
9445,41,241
12264,41,1
8767,41,162
5479,41,162
6891,1,1
7474,1,1
6110,241,1
10156,41,41
12758,241,41
1720,41,41
10748,241,241
12754,41,1
428,1,1
427,41,41
10504,41,162
11408,41,1
4018,41,41
5920,241,41
2191,241,162
8885,41,162
3796,1,241
3508,241,1
9615,41,162
10104,41,41
8125,241,241
10600,1,41
13013,41,41
3504,41,162
2620,41,1
1885,41,241
10735,41,1
11219,1,241
9713,1,1
2999,41,41
4399,1,41
970,241,162
7417,41,241
1005,41,241
10589,241,1
11426,41,162
9122,41,241
11297,41,241
3634,41,162
9149,41,241
10703,41,1
5100,241,241
9734,41,241
