Index,Room_Og,Room_Changed
5106,41,241
381,41,1
4368,241,41
12123,241,162
888,41,162
2255,41,162
5734,41,41
1066,41,241
3492,41,241
459,41,162
11118,41,162
6423,41,241
245,241,1
11072,41,1
11735,41,1
12888,41,41
1245,41,241
6883,241,41
6862,41,1
2766,241,41
8341,41,241
724,41,1
11040,162,241
5056,41,241
6596,41,162
8495,241,162
6997,1,1
6474,41,41
4611,1,162
3230,41,162
5678,41,41
2750,41,41
10774,1,1
12249,41,1
9573,41,162
257,241,41
820,41,41
8591,41,1
3595,241,1
12363,41,241
2692,41,162
12883,162,41
1088,41,41
534,1,1
8281,1,162
6161,162,1
9548,41,162
5932,1,162
3444,41,162
3916,41,1
