Index,Room_Og,Room_Changed
4414,41,162
1761,241,241
12376,41,1
5000,41,162
2824,41,41
8335,162,41
11539,241,1
11413,41,41
6040,41,162
9934,41,1
12692,41,41
4296,1,1
2311,41,41
6344,241,162
3157,41,162
3422,41,1
11593,241,41
4768,41,241
6082,41,1
6273,41,41
11422,41,41
10308,41,241
11629,41,1
8647,41,162
12387,241,41
11501,1,241
1557,41,162
4818,41,41
11363,41,1
927,41,241
8974,241,41
11097,41,41
3781,41,1
4007,41,1
8521,41,241
3991,41,41
12560,41,1
11868,1,241
6977,41,241
6593,241,1
12702,41,1
1449,41,241
12732,41,241
12303,241,241
1853,41,162
10445,41,241
5011,41,41
596,41,1
8658,41,162
9115,41,162
