Index,Room_Og,Room_Changed
9914,1,162
3584,41,241
8824,41,1
9195,41,1
8295,41,1
9077,241,1
9731,41,241
12997,41,241
12099,41,1
2718,41,41
8149,241,241
1904,1,41
11955,41,241
7037,241,41
1055,41,162
10740,41,1
11649,41,41
6535,241,1
12926,41,162
6003,1,241
4276,41,241
13086,1,41
9546,41,241
10285,1,41
10853,241,41
661,41,162
8470,41,162
6221,41,241
5612,241,241
1492,162,241
7655,41,241
8387,41,162
5948,41,41
8632,241,241
11557,1,241
1852,41,1
1488,41,241
12301,41,1
9748,1,1
3777,241,41
4172,1,1
12750,1,1
5711,241,162
8054,41,162
5707,41,162
11808,41,162
3032,241,41
12262,241,1
6585,41,1
4034,41,162
