Index,Room_Og,Room_Changed
3891,41,162
6422,41,41
930,41,162
5413,41,41
10699,241,162
670,241,162
2537,241,241
8629,241,241
10846,41,241
4329,241,162
2845,41,241
9455,41,162
9885,41,1
11989,41,1
3148,41,41
4389,241,41
6699,41,1
10798,41,41
1302,41,41
3684,41,241
3914,1,41
8659,41,241
1384,162,241
7255,1,41
4480,41,1
8960,41,241
11609,41,1
8170,41,241
11240,41,1
764,41,241
10419,41,1
8740,41,162
8645,241,162
9575,1,41
6630,41,41
12132,41,1
4832,1,241
5035,1,241
5099,241,241
11857,41,1
6306,41,241
2875,41,1
12508,41,1
11538,241,1
10082,41,241
3120,241,1
8016,241,162
13042,162,162
3281,41,162
702,41,241
