Index,Room_Og,Room_Changed
317,41,162
1101,241,41
3945,41,162
8164,41,162
8078,41,241
7443,41,241
7372,41,241
8251,241,162
4003,41,41
2647,41,1
1503,41,41
4359,41,41
368,41,162
8808,41,241
12549,41,41
11270,41,162
2767,241,162
9620,41,162
7698,241,1
12680,41,162
2345,41,241
630,41,1
11644,241,41
1546,241,241
5994,41,1
2504,41,162
391,41,41
8359,41,41
3313,41,41
1106,1,162
9782,41,241
3583,41,162
11546,241,162
5927,241,162
4622,241,1
1468,41,41
1829,41,241
9724,41,241
1736,41,1
8793,41,41
608,41,162
5392,41,1
12330,41,162
7913,241,241
6976,41,162
3531,1,162
2740,41,241
1271,41,241
11801,41,162
951,41,162
