Index,Room_Og,Room_Changed
439,41,1
12146,41,241
4136,41,241
8675,1,41
12611,41,241
8181,41,1
5536,41,1
8038,1,162
12440,241,1
1256,41,1
1283,41,162
4987,41,241
12725,41,162
8751,41,162
1950,41,241
7513,41,1
3477,41,162
2702,41,162
7052,41,1
12226,41,1
4062,41,241
6091,1,241
3858,41,1
1910,41,241
4154,241,162
2132,241,41
11718,41,1
13081,1,162
1208,41,1
7370,41,241
11238,41,162
12100,241,41
4512,41,162
1670,41,241
12824,41,241
12871,1,241
7825,41,241
8127,41,241
9787,41,241
6941,41,1
5791,241,162
9022,41,241
7046,41,241
5012,41,1
11356,1,41
9742,41,1
4868,1,41
32,241,162
3525,41,241
6606,41,162
3014,241,1
7784,241,41
9267,241,41
7044,41,241
4630,41,241
6188,41,1
8009,41,241
5098,1,41
9327,41,162
4068,41,241
7011,41,1
2121,1,162
6670,1,41
11798,41,162
12939,241,1
7687,41,241
10706,1,41
4201,241,1
11344,41,1
6816,41,241
6246,1,162
8500,41,162
4095,241,162
7844,1,241
9797,241,1
8499,41,162
1646,41,162
6520,1,41
3359,41,241
11792,41,241
2708,41,241
6346,41,241
3738,41,162
10333,41,162
12756,41,241
11894,41,241
1741,241,162
9399,41,241
7037,241,162
10751,241,162
605,41,162
10209,41,241
6702,41,241
10575,41,1
3126,41,1
10199,41,241
2232,41,241
3499,1,162
1270,41,1
2346,41,1
8506,41,241
10168,241,162
8377,41,1
5901,41,162
10863,41,162
5949,241,41
12873,41,162
2875,41,241
3089,41,241
7389,41,162
9302,41,241
3390,41,241
6796,162,241
11786,41,1
10466,41,241
6062,241,1
6041,41,241
2597,1,162
11905,41,241
11060,1,41
48,1,162
3046,41,1
2538,1,41
3540,241,1
12629,241,1
7992,41,162
1101,241,1
7556,41,162
4680,41,162
1643,1,41
6947,41,241
