Index,Room_Og,Room_Changed
2384,41,1
7910,241,1
1379,1,41
4909,41,241
7961,1,41
440,41,1
944,241,1
12115,41,162
5924,241,1
9492,41,162
4307,41,241
6597,41,241
12462,41,1
4844,41,241
12080,41,1
7395,41,1
9421,41,162
4549,241,1
5386,41,1
5226,41,1
781,241,41
5743,41,162
7607,41,1
6153,41,1
10875,41,1
463,241,41
11422,41,241
8568,41,162
8476,41,241
4601,241,162
5158,41,162
3606,41,162
41,41,162
9073,41,241
11599,241,162
7550,41,162
2515,41,162
1842,41,162
234,41,1
1653,241,162
6862,41,162
12040,41,162
7003,41,162
1200,241,41
961,41,241
12529,41,162
5514,41,162
8228,241,162
10298,41,162
4514,1,241
6300,241,41
12974,241,1
4823,1,162
3103,41,162
6097,41,162
6178,41,241
10385,1,41
4910,41,162
11519,41,162
2050,41,1
11240,41,162
7259,41,1
5143,41,241
2661,241,1
9128,41,241
5624,41,241
12349,1,241
9839,41,162
3240,1,162
13004,41,162
3033,41,1
10903,241,41
8091,41,162
11232,41,241
5343,241,1
1065,1,162
7449,41,1
6293,41,1
5694,41,241
408,41,241
7075,41,1
4663,41,241
3637,41,241
8621,41,162
12321,41,162
11806,41,241
12630,41,1
13037,41,241
2457,41,241
12492,241,41
10495,1,41
9173,41,162
5737,241,1
1155,41,241
7378,162,41
9123,41,1
5825,41,1
5495,241,41
11267,41,162
8122,241,41
5978,41,162
3785,41,1
9249,41,1
10307,41,162
8306,241,162
3192,41,162
9508,41,241
1501,241,1
7195,41,241
5849,41,162
7448,41,162
3835,41,1
10700,241,1
10617,41,241
876,41,162
181,41,162
5656,41,162
3324,41,241
7866,41,1
5254,41,241
11208,41,1
4916,41,162
10575,41,162
1757,241,162
8804,241,1
11115,241,162
9848,41,162
2389,41,241
7255,1,41
9063,1,241
7891,241,41
11483,41,241
6222,41,1
12516,241,41
10284,41,162
3669,241,162
8812,162,241
8617,41,241
2917,41,1
8984,41,162
2519,41,241
10545,41,1
1311,241,41
1682,241,1
7326,241,162
11969,241,1
3286,1,241
7593,41,162
4345,41,1
1351,41,162
10483,241,1
6554,1,162
2286,1,162
9856,41,241
2099,41,162
3379,241,162
12249,241,41
7850,241,162
329,41,1
11369,41,162
5693,41,162
7314,1,41
4758,241,41
8219,41,1
2976,162,1
4242,41,1
1831,41,162
10668,241,1
4471,41,162
11642,41,241
7853,41,241
8166,41,241
4083,41,1
294,41,162
1524,41,1
6369,41,162
2643,241,41
12854,41,241
4311,41,1
2948,1,162
6958,41,241
10880,241,162
10949,41,162
6420,41,241
1875,41,1
8553,41,162
1577,41,241
2724,41,162
2302,41,241
4813,241,41
1465,241,41
7546,41,162
2691,41,162
6819,1,41
8534,1,41
7768,41,1
6994,41,1
10358,41,241
12715,1,41
11944,41,1
1332,41,241
13051,41,162
2637,241,162
8549,41,162
2532,41,241
13054,41,241
603,41,1
8172,41,162
4915,41,241
7834,41,162
7525,41,241
6634,41,1
4846,41,162
4984,41,162
12930,41,241
10671,41,162
8537,41,1
12766,41,162
8284,41,241
12996,41,162
4248,41,241
1748,41,1
1759,241,41
9263,41,1
7352,41,1
4647,241,1
12172,41,1
1708,41,162
6586,41,1
8126,41,241
8804,1,162
8633,241,41
5199,41,162
1537,1,241
11643,1,162
12021,41,241
5121,41,241
1022,41,1
2429,241,41
9474,41,1
6585,241,41
9601,41,162
104,41,241
12528,41,241
619,41,241
10382,241,1
10511,41,1
2820,241,1
741,41,241
3114,241,41
967,41,1
12158,41,162
4653,41,1
9315,41,1
12733,41,1
9992,41,241
399,41,241
11727,162,1
10258,41,1
298,241,1
7036,41,1
5596,41,1
3696,41,241
6845,41,1
10830,41,1
2092,41,1
8729,241,162
12202,41,241
7819,41,1
5599,41,1
11741,41,241
8465,241,1
9835,41,162
2093,41,1
2913,41,1
6443,41,1
404,241,162
8694,41,241
9695,41,1
1350,41,1
12841,241,162
1100,41,162
11115,162,1
9226,41,162
12392,41,241
11756,41,162
5229,1,162
4996,41,162
7373,241,162
5485,41,1
12694,41,1
8759,162,241
3094,41,241
6928,41,241
11579,41,162
2323,241,41
487,241,1
7586,41,241
4051,41,162
4558,1,41
1512,41,1
5122,41,162
5432,41,241
11377,41,241
12269,41,241
178,41,162
421,41,241
2564,41,1
8834,1,41
12141,41,241
12242,41,1
1301,41,241
10298,162,1
10021,41,241
11947,41,1
9560,41,241
12524,41,241
7743,41,241
8236,41,241
3992,41,241
9270,1,162
3039,241,162
11941,41,1
3126,41,162
6189,241,162
7133,41,162
7791,1,241
9224,41,241
2437,41,1
9702,41,162
11948,41,241
6984,241,162
5579,41,241
8601,241,1
12258,241,1
1933,41,241
10365,41,162
1806,41,162
12152,241,1
3068,1,241
4824,1,241
5552,41,1
1901,1,241
7442,41,1
8357,1,162
10610,41,1
4165,41,162
5180,41,241
9505,41,241
6755,41,241
13104,41,162
4402,41,241
9370,241,41
6673,41,162
12035,41,162
4767,41,162
1264,241,162
1814,41,1
12597,41,162
7732,241,162
9440,241,162
9893,41,1
4359,241,41
7877,41,1
7171,41,162
6069,41,162
12092,41,241
10302,41,162
8099,41,241
9046,1,241
3935,241,162
11887,241,1
5841,241,1
5911,41,1
7282,41,1
7941,241,1
612,41,162
1115,41,241
8934,41,241
3880,241,41
4465,241,1
10205,41,1
7065,41,1
4726,1,162
7129,41,1
4769,41,241
6394,41,241
628,241,162
419,41,241
11739,41,1
4933,41,162
2217,241,41
9911,1,162
9517,41,241
12866,241,41
6529,1,241
9215,1,241
5151,162,241
7947,1,41
1285,41,241
3854,41,162
1067,41,162
7078,41,1
3841,41,162
1586,1,41
776,241,162
6263,41,1
1680,41,241
6299,1,162
5363,162,1
1677,241,1
12946,41,241
12461,241,162
12993,241,41
12206,41,162
891,241,162
2672,41,1
12412,41,162
11922,1,162
6710,41,241
2915,1,41
2039,41,1
6025,241,41
11398,41,162
6644,41,241
6179,41,162
4911,1,41
5825,1,241
6750,41,1
3732,41,162
3738,41,1
4788,41,241
6395,1,241
6166,41,162
6547,41,241
12315,41,241
6932,41,162
11641,41,241
6798,41,241
11916,241,41
851,41,1
3487,241,1
13060,41,241
8003,1,241
10849,241,162
2306,41,241
6539,241,162
5043,41,162
7609,41,1
2307,41,1
2759,41,162
8096,41,241
8948,241,1
7163,41,162
8721,41,162
10548,1,41
3345,41,241
6492,41,162
3050,41,1
5421,41,1
12163,41,1
12266,41,162
12479,41,162
3322,41,162
115,41,241
2154,241,162
4101,241,1
1201,41,162
3564,241,162
9905,241,41
5482,41,162
1757,162,41
9151,41,241
750,241,162
694,1,41
7724,41,162
5584,41,1
2793,41,241
9140,41,241
2555,241,162
8121,162,1
7329,41,162
8056,1,162
11151,41,1
1698,41,241
9947,1,162
2809,1,162
1575,41,1
6161,241,41
12027,41,162
10175,41,162
11375,41,162
5252,41,162
11355,1,162
12270,41,162
7353,41,162
3625,41,1
1178,41,241
3946,41,241
3741,41,241
352,241,41
12156,41,241
9189,41,241
13015,1,41
9945,41,162
13009,41,241
4959,41,1
1554,241,41
11373,41,241
8777,41,241
8580,241,1
12636,41,162
9549,41,162
10970,41,241
6303,1,41
1249,41,1
1692,1,41
10140,41,162
12916,41,1
359,241,1
8150,41,241
10705,41,162
13022,41,241
9621,41,1
6113,41,1
12123,41,241
12110,41,241
5305,41,241
6637,241,41
3702,1,241
5760,241,1
11219,1,241
8425,41,162
10417,41,162
11646,41,1
10108,241,41
3589,41,1
12121,241,1
8663,41,162
838,241,1
4327,41,241
9016,241,1
1280,241,1
2626,41,1
1025,41,241
6155,41,1
12750,1,162
3403,241,41
4223,241,41
7687,41,241
6227,41,241
1520,41,1
808,41,241
7273,241,1
3397,41,241
8333,162,241
3478,1,41
2811,41,1
9279,41,1
8562,41,241
4172,41,241
5016,41,1
1182,41,241
2392,1,241
9796,241,1
4494,41,162
7948,41,241
5595,41,1
8609,41,241
9486,41,162
4651,41,241
6312,41,1
1626,41,1
4458,41,241
1545,241,41
954,1,41
12041,41,162
322,1,241
6602,41,162
5183,41,241
12768,1,41
2833,41,162
4192,41,1
11384,241,41
9113,1,41
9909,41,162
6350,241,1
5189,41,1
7030,41,1
79,41,241
