Time,Obj_ID,Obj_name,Room_ID,Room_name,Activity
360,99,trashcan,41,dining_room,Wakeup
360,102,mat,41,dining_room,Wakeup
360,130,coffe_maker,41,dining_room,Wakeup
360,1012,toothbrush_holder,1,bathroom,Wakeup
360,1023,book,162,bedroom,Wakeup
360,1026,bowl,41,dining_room,Wakeup
360,1030,cd,241,home_office,Wakeup
360,1031,cd_player,241,home_office,Wakeup
360,1034,chessboard,241,home_office,Wakeup
360,1048,coffee,41,dining_room,Wakeup
360,1049,coffee_cup,41,dining_room,Wakeup
360,1050,coffee_filter,41,dining_room,Wakeup
360,1056,cookingpot,41,dining_room,Wakeup
360,1058,cup,41,dining_room,Wakeup
360,1059,cutting_board,41,dining_room,Wakeup
360,1060,deck_of_cards,241,home_office,Wakeup
360,1070,dry_pasta,41,dining_room,Wakeup
360,1083,food_bread,41,dining_room,Wakeup
360,1087,food_cereal,41,dining_room,Wakeup
360,1088,food_cheese,41,dining_room,Wakeup
360,1089,food_chicken,41,dining_room,Wakeup
360,1091,food_donut,41,dining_room,Wakeup
360,1098,food_jam,41,dining_room,Wakeup
360,1102,food_oatmeal,41,dining_room,Wakeup
360,1106,food_peanut_butter,41,dining_room,Wakeup
360,1109,food_rice,41,dining_room,Wakeup
360,1115,food_vegetable,41,dining_room,Wakeup
360,1116,fork,41,dining_room,Wakeup
360,1117,fryingpan,41,dining_room,Wakeup
360,1120,ground_coffee,41,dining_room,Wakeup
360,1121,hairbrush,1,bathroom,Wakeup
360,1122,hairdryer,1,bathroom,Wakeup
360,1123,headset,241,home_office,Wakeup
360,1126,instrument_guitar,241,home_office,Wakeup
360,1132,juice,41,dining_room,Wakeup
360,1137,knife,41,dining_room,Wakeup
360,1144,milk,41,dining_room,Wakeup
360,1148,mug,41,dining_room,Wakeup
360,1154,notebook,241,home_office,Wakeup
360,1156,oil,41,dining_room,Wakeup
360,1162,pen,241,home_office,Wakeup
360,1167,plate,41,dining_room,Wakeup
360,1172,radio,241,home_office,Wakeup
360,1174,razor,1,bathroom,Wakeup
360,1176,remote_control,241,home_office,Wakeup
360,1184,shaving_cream,1,bathroom,Wakeup
360,1193,spoon,41,dining_room,Wakeup
360,1196,tea,41,dining_room,Wakeup
360,1203,tooth_paste,1,bathroom,Wakeup
360,1204,toothbrush,1,bathroom,Wakeup
360,1207,trashbag,41,dining_room,Wakeup
360,1215,wine,41,dining_room,Wakeup
360,1216,wine_glass,41,dining_room,Wakeup
365,99,trashcan,41,dining_room,Brush teeth
365,102,mat,41,dining_room,Brush teeth
365,130,coffe_maker,41,dining_room,Brush teeth
365,1012,toothbrush_holder,1,bathroom,Brush teeth
365,1023,book,162,bedroom,Brush teeth
365,1026,bowl,41,dining_room,Brush teeth
365,1030,cd,241,home_office,Brush teeth
365,1031,cd_player,241,home_office,Brush teeth
365,1034,chessboard,241,home_office,Brush teeth
365,1048,coffee,41,dining_room,Brush teeth
365,1049,coffee_cup,41,dining_room,Brush teeth
